pitcher_id,player_name
605400,Aaron Nola
672715,Luis Patiño
623474,Jimmy Herget
453286,Max Scherzer
425794,Adam Wainwright
668909,Gavin Williams
693821,Bryce Elder
663992,Richard Lovelady
668868,Zack Thompson
691587,Eury Pérez
679885,Justin Martinez
608678,Dominic Leone
571946,Shelby Miller
592426,Luke Jackson
657585,Reed Garrett
657756,Connor Seabold
686839,Brendan White
687145,Evan Justice
596133,Luke Weaver
600921,Andrés Machado
678394,Brayan Bello
663558,Jovani Morán
681402,Gus Varland
676534,Calvin Faucher
502179,Paolo Espino
607192,Tyler Glasnow
596271,Casey Lawrence
678061,Ray Kerr
676760,Ron Marinaccio
622554,Seranthony Domínguez
642547,Freddy Peralta
670329,Rico Garcia
678606,Jose Ferrer
663773,Bryan Hoeing
669212,Eli Morgan
623149,Paul Sewald
672860,Prelander Berroa
686752,Ryan Pepiot
663567,Peter Lambert
605483,Blake Snell
542585,José Cisnero
657044,Ryan Thompson
669060,Bryse Wilson
642770,Javy Guerra
670102,Bowden Francis
453268,Daniel Bard
686747,Joe La sorsa
645444,José Herrera
672282,Reid Detmers
664126,Pete Fairbanks
572193,Ryan Tepera
682120,Tim Herrin
621366,Ryan Borucki
621107,Zach Eflin
596057,Daniel Norris
663485,Cole Sands
607179,Jordan Weems
661440,Mauricio Llovera
628711,Julio Urías
664299,Cristian Javier
608665,Kendall Graveman
573009,Joe Mantiply
608717,Chris Stratton
656257,Jeff Brigham
607481,Aaron Bummer
667755,José Soriano
607536,Kyle Freeland
667463,John King
675921,Spencer Howard
594902,Ben Lively
666201,Alek Manoah
642207,Devin Williams
643493,Austin Pruitt
694813,Gavin Stone
672391,Kaleb Ort
541640,Erasmo Ramírez
663158,Robert Suarez
663462,Isaiah Campbell
518886,Craig Kimbrel
666374,Matt Brash
600917,José Leclerc
656731,Tylor Megill
674003,Cody Bradford
656322,Sam Coonrod
642232,Ryan Yarbrough
519151,Ryan Pressly
621368,Taylor Hearn
656820,Nicholas Padilla
682175,Joe Jacques
665795,Edward Cabrera
592767,Drew Smyly
542947,Richard Bleier
650960,Daniel Duarte
607359,Spencer Patton
543510,James Mccann
681857,Reese Olson
489446,Kirby Yates
661395,Jhoan Durán
687396,Brent Headrick
448179,Rich Hill
641755,Tyler Kinley
676680,Tom Cosgrove
659275,Dinelson Lamet
666154,Karl Kauffmann
664192,Joey Lucchesi
502171,Alex Cobb
622491,Luis Castillo
647336,Michael Soroka
664875,Justin Lawrence
669459,Kyle Nelson
668338,Tyson Miller
643410,Mark Leiter
669395,Dylan Coleman
595345,Steven Okert
607067,Colin Rea
666142,Cole Ragans
686654,Ty Adcock
656849,David Peterson
571927,Steven Matz
571882,Derek Law
607237,Amir Garrett
621389,Ty Blach
640454,Matt Krook
642048,Tayler Saucedo
456713,Matt Bush
642121,Cole Sulser
666200,Jesús Luzardo
658648,Pedro Avila
676440,Tanner Bibee
641302,Tyler Alexander
592836,Taijuan Walker
622075,Yency Almonte
605130,Scott Barlow
666364,Jordan Balazovic
686826,Bryce Jarvis
656786,Parker Mushinski
573186,Marcus Stroman
666974,Yennier Cano
502043,Kyle Gibson
605397,Joe Musgrove
571670,Dylan Floro
642701,Dennis Santana
677865,Justin Bruihl
678226,Daysbel Hernández
605447,Jordan Romano
623211,Huascar Brazobán
543135,Nathan Eovaldi
500871,Eduardo Escobar
669424,Jimmy Lambert
666159,Matt Manning
682051,Garrett Hill
676477,Garrett Whitlock
674444,Steven Cruz
543294,Kyle Hendricks
657508,Mike Baumann
621295,Nick Wittgren
650893,Génesis Cabrera
572955,Pierce Johnson
670174,Josh Winckowski
669022,Mackenzie Gore
571945,Miles Mikolas
518397,Scott Alexander
656887,Sean Reid-foley
676475,Alec Burleson
666205,Kyle Muller
669111,John Mcmillon
656945,Tanner Scott
641729,Joe Jiménez
700363,Aj Smith-shawver
670990,Yohan Ramírez
668933,Graham Ashcraft
641927,Bailey Ober
592791,Jameson Taillon
476595,Lucas Luetge
669456,Shane Bieber
677960,Ryan Weathers
657514,Brennan Bernardino
662253,Andrés Muñoz
665620,Deivi García
660813,Brusdar Graterol
668873,Caleb Kilian
621381,Matt Strahm
657024,Erik Swanson
594580,Sam Moll
657746,Joe Ryan
641712,Dakota Hudson
657277,Logan Webb
663947,Tyler Holton
595928,John Curtiss
472610,Luis García
592866,Trevor Williams
668881,Hunter Greene
606160,Rafael Montero
663941,Tristan Beck
683769,Hunter Gaddis
527048,Martín Pérez
672582,Angel Zerpa
543521,Collin Mchugh
592789,Noah Syndergaard
622098,Drew Smith
605200,Zach Davies
668970,Gavin Hollowell
669713,Hayden Wesneski
543243,Sonny Gray
681892,Kody Funderburk
680232,Jackson Wolf
677076,Clayton Andrews
681808,Chris Vallimont
571912,Luke Maile
686613,Hunter Brown
670097,Zack Short
656457,Tyler Gilbert
650633,Mike King
455117,Martín Maldonado
598286,Nick Ramirez
592332,Kevin Gausman
694037,Daniel Palencia
669438,Mason Englert
640462,A. j. Puk
680570,Grayson Rodriguez
622072,Alex Wood
669711,Greg Weissert
657240,Julian Merryweather
656794,Sean Newcomb
656302,Dylan Cease
519242,Chris Sale
621383,Tanner Banks
665622,Luis Medina
672335,Cionel Pérez
665001,Trevor Kelley
676664,Jp Sears
656464,Kevin Ginkel
696147,Sam Bachman
592473,Adam Kolarek
601713,Nick Pivetta
686539,Declan Cronin
676106,Emerson Hancock
656657,Zach Logue
665625,Elvis Peguero
571656,Buck Farmer
675916,James Karinchak
614179,José Ruiz
621016,José Cuas
592454,Tommy Kahnle
663804,Jackson Kowar
543056,Danny Coulombe
445276,Kenley Jansen
669169,Jonathan Heasley
656756,Jordan Montgomery
645261,Sandy Alcántara
656266,J. b. Bukauskas
680689,Lyon Richardson
677020,Josh Walker
669854,Ronel Blanco
