weather_id,park_id,date,temperature_2m_max,temperature_2m_min,precipitation_sum,windspeed_10m_max,relative_humidity_2m_mean
86,ARL03,2023-07-22,93.3,77.2,0.0,13.8,53
87,ARL03,2023-07-23,95.5,72.7,0.0,10.5,51
88,ARL03,2023-07-24,100.9,77.1,0.0,13.8,43
89,ARL03,2023-07-25,102.8,80.8,0.0,13.5,41
90,ARL03,2023-07-26,101.2,81.3,0.0,12.2,42
91,ARL03,2023-07-27,100.7,81.3,0.0,12.6,39
92,ARL03,2023-07-28,100.8,81.7,0.0,9.4,39
93,ARL03,2023-07-29,100.8,81.5,0.0,8.7,38
94,ARL03,2023-07-30,102.2,81.1,0.0,6.7,35
95,ARL03,2023-07-31,104.8,82.3,0.0,10.3,36
96,ARL03,2023-08-01,106.0,83.3,0.0,11.1,38
97,ARL03,2023-08-02,105.7,87.1,0.0,12.3,35
98,ARL03,2023-08-03,105.5,84.7,0.0,14.2,35
99,ARL03,2023-08-04,104.7,84.5,0.0,14.2,39
100,ARL03,2023-08-05,105.2,85.8,0.0,13.7,38
101,ARL03,2023-08-06,104.4,85.7,0.0,13.7,38
102,ARL03,2023-08-07,103.4,84.7,0.0,15.7,43
103,ARL03,2023-08-08,101.8,82.9,0.114,16.5,45
104,ARL03,2023-08-09,106.2,83.6,0.0,17.9,43
105,ARL03,2023-08-10,107.3,85.4,0.0,16.2,43
106,ARL03,2023-08-11,107.2,84.6,0.0,16.0,41
107,ARL03,2023-08-12,107.6,82.1,0.0,17.6,42
108,ARL03,2023-08-13,106.4,82.7,0.0,15.6,42
109,ARL03,2023-08-14,100.5,84.0,0.0,15.9,42
110,ARL03,2023-08-15,94.1,77.4,0.0,13.0,36
111,ARL03,2023-08-16,94.7,72.3,0.0,9.2,40
112,ARL03,2023-08-17,107.7,77.0,0.0,9.3,31
113,ARL03,2023-08-18,107.9,85.4,0.0,9.6,29
114,ARL03,2023-08-19,106.1,85.2,0.0,13.6,31
115,ARL03,2023-08-20,106.1,82.8,0.0,14.6,36
116,ARL03,2023-08-21,104.1,83.0,0.012,12.2,41
117,ARL03,2023-08-22,102.8,84.1,0.0,11.9,42
118,ARL03,2023-08-23,102.8,83.3,0.0,9.0,43
119,ARL03,2023-08-24,103.5,86.2,0.0,7.0,38
120,ARL03,2023-08-25,106.7,85.4,0.0,15.6,36
121,ARL03,2023-08-26,106.2,88.3,0.0,8.2,31
122,ARL03,2023-08-27,94.6,79.7,0.146,12.6,56
123,ARL03,2023-08-28,93.2,78.2,0.0,14.0,51
124,ARL03,2023-08-29,96.3,76.5,0.0,11.1,46
125,ARL03,2023-08-30,98.1,77.2,0.0,12.8,39
126,ARL03,2023-08-31,95.8,75.0,0.0,9.2,42
127,ATL03,2023-06-30,90.9,67.1,0.031,7.1,73
128,ATL03,2023-07-01,92.3,70.7,0.177,13.4,76
129,ATL03,2023-07-02,91.2,71.2,0.118,10.7,78
130,ATL03,2023-07-03,88.6,71.0,0.079,9.2,78
131,ATL03,2023-07-04,87.3,70.5,0.339,6.0,81
132,ATL03,2023-07-05,86.7,69.6,0.291,8.8,83
133,ATL03,2023-07-06,91.0,70.2,0.035,7.0,75
134,ATL03,2023-07-07,89.0,71.1,0.039,7.5,81
135,ATL03,2023-07-08,89.3,70.5,0.075,11.7,79
136,ATL03,2023-07-09,86.5,70.2,0.354,9.4,83
137,ATL03,2023-07-10,83.6,68.4,0.811,6.5,84
138,ATL03,2023-07-11,86.9,66.5,0.0,5.5,70
139,ATL03,2023-07-12,87.4,66.2,0.004,8.0,72
140,ATL03,2023-07-13,88.2,70.7,0.071,7.4,82
141,ATL03,2023-07-14,89.7,70.4,0.059,5.5,80
142,ATL03,2023-07-15,89.9,71.5,0.102,12.4,80
143,ATL03,2023-07-16,91.0,72.4,0.0,9.7,68
144,ATL03,2023-07-17,91.2,66.7,0.0,6.6,58
145,ATL03,2023-07-18,91.2,66.7,0.0,7.6,68
146,ATL03,2023-07-19,89.8,70.5,0.008,10.4,74
147,ATL03,2023-07-20,92.2,71.4,0.134,11.1,79
148,ATL03,2023-07-21,90.0,71.4,0.886,10.5,88
149,ATL03,2023-07-22,83.8,68.1,0.366,10.3,85
150,ATL03,2023-07-23,85.4,67.4,0.008,8.9,74
151,ATL03,2023-07-24,87.1,65.5,0.004,6.4,67
152,ATL03,2023-07-25,89.8,66.6,0.016,6.7,72
153,ATL03,2023-07-26,92.0,68.8,0.0,4.3,71
154,ATL03,2023-07-27,93.7,68.9,0.0,5.2,69
155,ATL03,2023-07-28,93.7,71.3,0.016,4.9,69
156,ATL03,2023-07-29,91.1,73.0,0.0,9.6,78
157,ATL03,2023-07-30,86.3,72.1,0.13,8.8,76
158,ATL03,2023-07-31,92.0,70.2,0.0,8.8,62
159,ATL03,2023-08-01,91.7,68.9,0.0,8.1,55
160,ATL03,2023-08-02,88.6,70.9,0.075,9.3,66
161,ATL03,2023-08-03,85.2,72.1,1.0,10.4,83
162,ATL03,2023-08-04,83.9,71.1,0.945,10.9,86
163,ATL03,2023-08-05,88.5,71.2,0.024,6.3,82
164,ATL03,2023-08-06,85.2,71.9,0.283,10.9,88
165,ATL03,2023-08-07,89.9,70.8,0.417,13.5,88
166,ATL03,2023-08-08,85.5,70.1,0.031,13.6,83
167,ATL03,2023-08-09,88.3,65.1,0.264,6.9,81
168,ATL03,2023-08-10,84.7,69.5,0.673,13.7,85
169,ATL03,2023-08-11,86.2,70.1,0.594,9.9,87
170,ATL03,2023-08-12,89.2,69.6,0.118,10.5,88
171,ATL03,2023-08-13,89.9,70.2,0.012,8.4,82
172,ATL03,2023-08-14,91.7,72.3,0.205,7.8,80
173,ATL03,2023-08-15,84.3,73.1,0.335,10.0,82
174,ATL03,2023-08-16,83.6,64.5,0.0,7.4,69
175,ATL03,2023-08-17,84.6,62.6,0.0,8.8,69
176,ATL03,2023-08-18,85.9,66.0,0.0,9.0,70
177,ATL03,2023-08-19,88.0,65.3,0.0,5.4,65
178,ATL03,2023-08-20,90.6,67.9,0.0,6.3,62
179,ATL03,2023-08-21,93.0,68.5,0.0,7.0,64
180,ATL03,2023-08-22,95.3,73.7,0.0,7.0,66
181,ATL03,2023-08-23,92.5,74.1,0.0,9.6,68
182,ATL03,2023-08-24,93.5,72.2,0.63,15.4,75
183,ATL03,2023-08-25,94.5,71.3,0.024,9.4,75
184,ATL03,2023-08-26,95.8,74.5,0.004,9.0,65
185,ATL03,2023-08-27,93.7,72.4,0.327,7.9,68
186,ATL03,2023-08-28,89.4,71.2,1.098,11.6,85
187,ATL03,2023-08-29,86.9,70.8,0.563,8.3,89
188,ATL03,2023-08-30,80.6,70.1,0.283,10.8,90
189,ATL03,2023-08-31,84.6,64.3,0.02,7.7,75
190,BAL12,2023-06-30,82.0,63.0,0.02,9.7,80
191,BAL12,2023-07-01,82.4,66.7,0.839,9.7,87
192,BAL12,2023-07-02,86.7,70.5,0.157,8.5,85
193,BAL12,2023-07-03,90.2,70.6,0.748,9.0,79
194,BAL12,2023-07-04,87.1,70.6,0.165,10.1,80
195,BAL12,2023-07-05,88.6,71.8,0.031,6.4,75
196,BAL12,2023-07-06,84.5,71.4,0.122,7.9,82
197,BAL12,2023-07-07,87.6,71.3,0.047,8.1,84
198,BAL12,2023-07-08,86.4,71.4,0.118,8.5,85
199,BAL12,2023-07-09,82.3,69.8,0.465,9.7,91
200,BAL12,2023-07-10,86.3,65.7,0.008,9.4,75
201,BAL12,2023-07-11,88.8,66.0,0.0,9.7,65
202,BAL12,2023-07-12,90.3,66.6,0.0,10.9,61
203,BAL12,2023-07-13,93.3,68.8,0.02,10.8,64
204,BAL12,2023-07-14,88.0,71.2,0.142,9.7,77
205,BAL12,2023-07-15,87.9,68.7,0.453,9.3,86
206,BAL12,2023-07-16,82.7,72.5,0.854,7.1,91
207,BAL12,2023-07-17,90.2,70.1,0.0,12.9,71
208,BAL12,2023-07-18,90.7,69.6,0.0,7.9,66
209,BAL12,2023-07-19,84.0,71.6,0.217,9.8,81
210,BAL12,2023-07-20,84.3,69.5,0.024,6.7,80
211,BAL12,2023-07-21,88.2,70.2,0.055,9.7,70
212,BAL12,2023-07-22,85.8,67.0,0.0,10.3,57
213,BAL12,2023-07-23,86.0,65.4,0.012,9.2,59
214,BAL12,2023-07-24,81.8,68.7,0.783,8.4,80
215,BAL12,2023-07-25,80.1,67.5,0.752,9.8,90
216,BAL12,2023-07-26,85.8,66.0,0.0,10.0,81
217,BAL12,2023-07-27,96.9,73.2,0.016,13.2,76
218,BAL12,2023-07-28,94.1,74.1,0.177,11.0,79
219,BAL12,2023-07-29,96.3,73.2,0.012,16.5,70
220,BAL12,2023-07-30,85.5,67.6,0.0,9.7,64
221,BAL12,2023-07-31,85.3,65.8,0.012,9.6,65
222,BAL12,2023-08-01,83.1,63.9,0.004,8.1,54
223,BAL12,2023-08-02,80.2,60.9,0.0,9.7,57
224,BAL12,2023-08-03,82.2,64.3,0.012,13.8,65
225,BAL12,2023-08-04,80.5,65.9,0.016,8.7,77
226,BAL12,2023-08-05,84.5,66.6,0.02,8.7,79
227,BAL12,2023-08-06,86.2,67.3,0.543,12.4,77
228,BAL12,2023-08-07,89.1,71.5,0.591,14.5,84
229,BAL12,2023-08-08,86.4,70.9,0.0,17.2,66
230,BAL12,2023-08-09,85.8,66.4,0.0,11.2,63
231,BAL12,2023-08-10,78.3,69.3,0.807,11.5,84
232,BAL12,2023-08-11,86.6,67.9,0.0,10.3,67
233,BAL12,2023-08-12,89.0,68.7,0.008,8.7,69
234,BAL12,2023-08-13,90.5,73.2,0.0,10.8,60
235,BAL12,2023-08-14,88.8,69.3,0.189,9.4,73
236,BAL12,2023-08-15,89.8,74.0,0.11,11.2,77
237,BAL12,2023-08-16,85.5,68.1,0.0,9.3,62
238,BAL12,2023-08-17,85.9,64.8,0.35,10.3,77
239,BAL12,2023-08-18,83.8,68.5,0.35,13.0,62
240,BAL12,2023-08-19,83.5,60.7,0.0,7.7,51
241,BAL12,2023-08-20,88.6,60.0,0.0,8.1,62
242,BAL12,2023-08-21,93.9,66.6,0.0,4.7,64
243,BAL12,2023-08-22,84.1,69.7,0.0,12.0,52
244,BAL12,2023-08-23,81.9,61.7,0.0,6.3,53
245,BAL12,2023-08-24,83.0,67.9,0.193,13.8,68
246,BAL12,2023-08-25,92.8,68.7,0.118,9.1,75
247,BAL12,2023-08-26,90.7,71.7,0.02,7.9,72
248,BAL12,2023-08-27,86.7,69.7,0.016,8.3,61
249,BAL12,2023-08-28,79.4,71.1,0.063,13.1,78
250,BAL12,2023-08-29,84.0,70.9,0.063,8.2,76
251,BAL12,2023-08-30,88.2,71.3,0.012,12.0,63
252,BAL12,2023-08-31,82.0,65.3,0.0,12.6,48
253,BOS07,2023-06-30,78.5,62.6,0.016,9.9,81
254,BOS07,2023-07-01,74.4,62.3,0.0,11.2,88
255,BOS07,2023-07-02,76.4,64.1,0.236,12.3,91
256,BOS07,2023-07-03,78.6,67.4,0.559,11.9,87
257,BOS07,2023-07-04,76.3,67.0,0.37,5.9,91
258,BOS07,2023-07-05,87.3,67.4,0.0,6.8,78
259,BOS07,2023-07-06,89.2,70.0,0.02,9.1,77
260,BOS07,2023-07-07,88.2,67.7,0.0,10.7,71
261,BOS07,2023-07-08,82.5,70.2,0.024,11.2,86
262,BOS07,2023-07-09,79.8,68.4,0.016,10.2,90
263,BOS07,2023-07-10,75.2,68.4,0.232,12.8,94
264,BOS07,2023-07-11,85.2,64.7,0.008,11.2,76
265,BOS07,2023-07-12,89.3,67.2,0.051,7.6,72
266,BOS07,2023-07-13,88.0,68.2,0.0,15.7,73
267,BOS07,2023-07-14,83.9,69.5,0.591,11.3,84
268,BOS07,2023-07-15,82.1,69.7,0.181,10.9,86
269,BOS07,2023-07-16,75.6,70.9,1.035,15.4,95
270,BOS07,2023-07-17,88.5,70.6,0.008,8.1,75
271,BOS07,2023-07-18,84.7,70.0,0.256,10.5,83
272,BOS07,2023-07-19,83.7,69.3,0.02,9.8,75
273,BOS07,2023-07-20,80.1,64.8,0.0,9.9,73
274,BOS07,2023-07-21,80.1,64.8,1.283,10.0,84
275,BOS07,2023-07-22,81.9,65.8,0.004,7.3,76
276,BOS07,2023-07-23,84.3,64.0,0.0,6.7,64
277,BOS07,2023-07-24,84.8,65.9,0.051,10.0,70
278,BOS07,2023-07-25,84.2,65.8,0.531,11.4,85
279,BOS07,2023-07-26,88.9,66.1,0.0,10.4,70
280,BOS07,2023-07-27,89.1,70.3,0.035,18.7,76
281,BOS07,2023-07-28,90.9,71.2,0.0,8.5,73
282,BOS07,2023-07-29,87.1,65.3,1.409,14.2,79
283,BOS07,2023-07-30,76.2,57.9,0.0,12.0,70
284,BOS07,2023-07-31,79.5,59.2,0.0,11.3,67
285,BOS07,2023-08-01,75.1,57.8,0.0,9.0,63
286,BOS07,2023-08-02,74.8,55.4,0.0,8.6,63
287,BOS07,2023-08-03,81.6,58.1,0.0,17.5,63
288,BOS07,2023-08-04,77.6,64.2,0.299,12.8,78
289,BOS07,2023-08-05,79.6,62.2,0.008,6.1,80
