date,temperature_2m_max,temperature_2m_min,precipitation_sum,windspeed_10m_max,relative_humidity_2m_mean,park_id
6/30/2023,84.7,61.4,0,7.6,70,ALB01
7/1/2023,85.6,63.2,0.031,12.5,70,ALB01
7/2/2023,76.9,65.2,1.012,9.3,87,ALB01
7/3/2023,82.4,68.4,1.937,9.1,89,ALB01
7/4/2023,85.3,68,0.028,5.1,82,ALB01
7/5/2023,90.1,66.7,0,3.6,76,ALB01
7/6/2023,91.1,69.2,0.106,9.7,79,ALB01
7/7/2023,90.1,69.4,0.079,8.3,79,ALB01
7/8/2023,86.1,69.9,0.055,6.4,82,ALB01
7/9/2023,82.9,67.8,0.248,10.8,89,ALB01
