date,temperature_2m_max,temperature_2m_min,precipitation_sum,windspeed_10m_max,relative_humidity_2m_mean,park_id
2023-07-28,89.7,70.5,0.335,8.9,80,ALT01
2023-07-29,84.5,67.4,0.287,15.5,87,ALT01
2023-07-30,78.5,59.8,0.004,8.3,69,ALT01
2023-07-31,78.6,58.0,0.0,10.3,67,ALT01
2023-08-01,78.1,55.3,0.0,10.0,64,ALT01
2023-08-02,81.8,57.0,0.0,3.9,59,ALT01
2023-08-03,82.8,58.0,0.028,8.1,69,ALT01
2023-08-04,85.0,62.8,0.028,10.1,74,ALT01
2023-08-05,84.0,59.8,0.0,5.1,67,ALT01
2023-08-06,89.5,62.2,0.181,9.2,76,ALT01
2023-08-07,85.7,68.1,0.74,12.4,88,ALT01
2023-08-08,77.3,61.3,0.031,20.2,71,ALT01
2023-08-09,80.6,61.0,0.02,9.0,70,ALT01
2023-08-10,78.3,63.4,0.22,12.5,80,ALT01
2023-08-11,81.3,63.6,0.016,11.6,69,ALT01
2023-08-12,86.4,63.8,0.894,11.5,76,ALT01
2023-08-13,83.4,67.5,0.0,12.9,74,ALT01
2023-08-14,84.4,67.1,0.839,7.0,82,ALT01
2023-08-15,79.0,65.9,0.087,10.2,81,ALT01
2023-08-16,77.1,61.9,0.0,8.2,78,ALT01
2023-08-17,84.1,59.3,0.008,11.5,74,ALT01
2023-08-18,71.7,61.3,0.146,16.8,69,ALT01
2023-08-19,75.8,54.2,0.0,12.2,65,ALT01
2023-08-20,86.2,55.7,0.0,6.1,68,ALT01
2023-08-21,88.1,64.4,0.0,9.8,72,ALT01
2023-08-22,78.9,60.2,0.0,6.5,66,ALT01
2023-08-23,77.5,56.2,0.35,6.7,72,ALT01
2023-08-24,83.1,61.8,0.098,8.1,86,ALT01
2023-08-25,83.1,68.6,0.016,11.3,85,ALT01
2023-08-26,81.1,66.4,0.004,6.7,78,ALT01
2023-08-27,79.8,60.9,0.008,5.9,74,ALT01
2023-08-28,79.1,62.2,0.11,9.2,82,ALT01
2023-08-29,77.7,65.8,0.299,6.8,89,ALT01
2023-08-30,72.8,59.4,0.122,13.4,80,ALT01
2023-08-31,73.4,55.9,0.0,8.5,70,ALT01
2023-06-30,80.3,57.0,0.0,9.5,78,ANA01
2023-07-01,81.2,58.9,0.008,10.9,79,ANA01
2023-07-02,81.6,58.7,0.0,11.6,80,ANA01
2023-07-03,79.9,55.8,0.0,10.1,80,ANA01
2023-07-04,78.9,57.0,0.0,9.8,75,ANA01
2023-07-05,78.9,56.8,0.0,9.3,72,ANA01
2023-07-06,76.2,57.6,0.0,9.7,75,ANA01
2023-07-07,76.8,57.1,0.0,9.8,71,ANA01
2023-07-08,77.6,55.9,0.0,9.6,75,ANA01
2023-07-09,78.4,57.1,0.0,9.1,73,ANA01
2023-07-10,81.3,58.1,0.0,10.3,72,ANA01
2023-07-11,85.6,60.1,0.0,10.4,66,ANA01
2023-07-12,91.4,61.0,0.0,11.2,54,ANA01
2023-07-13,89.2,62.7,0.0,11.5,56,ANA01
2023-07-14,90.3,60.3,0.0,9.4,59,ANA01
2023-07-15,82.6,61.1,0.0,10.7,74,ANA01
2023-07-16,86.0,61.6,0.0,9.7,75,ANA01
2023-07-17,86.3,63.0,0.0,9.8,71,ANA01
2023-07-18,87.9,61.5,0.0,10.9,68,ANA01
2023-07-19,91.0,62.5,0.0,11.0,64,ANA01
2023-07-20,89.7,62.4,0.0,10.0,66,ANA01
2023-07-21,85.6,62.2,0.0,9.5,69,ANA01
2023-07-22,86.1,60.5,0.0,9.8,70,ANA01
2023-07-23,92.5,61.3,0.0,11.0,76,ANA01
