Latitude,Longitude
42.642295,-73.745198
40.494582,-78.411164
33.80029,-117.882685
32.755974,-97.084778
32.751164,-97.082546
32.747361,-97.084167
33.739457,-84.389486
33.735487,-84.389464
33.89127,-84.4681
39.309376,-76.632022
39.307192,-76.640809
39.317701,-76.610897
39.294656,-76.604953
39.29044,-76.612154
39.322914,-76.610017
39.317361,-76.612034
39.323868,-76.609953
39.324001,-76.60991
39.330001,-76.601488
39.283944,-76.621572
33.5026,-86.8562
42.336836,-71.087769
42.316513,-71.100641
42.350129,-71.047297
42.336859,-71.087692
42.339199,-71.08913
42.346561,-71.097337
42.353233,-71.119465
42.906379,-78.892599
42.905634,-78.881282
42.91453,-78.861669
42.918747,-78.851486
42.881306,-78.874278
40.815035,-81.412099
40.81132,-81.4234
41.883641,-87.623245
41.851747,-87.62906
41.82297,-87.624017
41.874902,-87.660903
41.832116,-87.629939
41.870218,-87.67251
41.824857,-87.632664
41.83201,-87.634025
41.948314,-87.655397
41.829892,-87.633703
39.109827,-84.534652
39.142878,-84.54647
39.121126,-84.536923
39.116854,-84.535505
39.116804,-84.53587
39.096548,-84.509756
39.097213,-84.506483
41.484704,-81.649883
41.500804,-81.654278
41.503823,-81.661583
41.483916,-81.648909
41.511852,-81.643766
41.506091,-81.699404
41.496005,-81.685326
41.500586,-81.632946
41.577927,-81.565971
39.957374,-82.980276
39.945109,-82.98933
39.972455,-82.990297
39.07032,-84.506412
39.786302,-84.213033
39.746293,-105.021939
39.756175,-104.99413
42.353487,-83.0564
42.332541,-83.068732
42.318309,-83.127755
42.339063,-83.048627
39.167903,-75.536243
-28.003996,-82.786977
42.499091,-91.058893
42.081115,-76.781308
41.079087,-85.15545
41.084198,-85.139431
35.163068,-79.001193
41.34955,-81.368067
39.889851,-75.126027
39.886988,-75.129051
42.951512,-85.613776
40.739723,-74.158838
21.372695,-157.929927
29.6889,-95.4089
29.684812,-95.407775
29.757041,-95.355429
41.758038,-72.671043
41.782489,-72.698579
39.762023,-86.153725
39.789401,-86.162256
39.797513,-86.143287
39.770404,-86.134361
39.759953,-86.171599
43.249113,-77.591588
40.733589,-74.053949
40.706251,-74.103881
39.084749,-94.593843
39.108146,-94.564027
39.088707,-94.551176
39.040575,-94.569587
39.086109,-94.557535
39.051604,-94.480149
40.413397,-91.388595
36.179914,-115.129708
28.336796,-81.555908
51.5365,-0.0098
34.014019,-118.288009
34.007316,-118.266236
34.073878,-118.239951
38.227403,-85.763533
38.251633,-85.79887
38.247254,-85.799672
38.245792,-85.799812
39.088421,-84.524465
40.719873,-73.914837
19.403901,-99.08548
25.957877,-80.238831
25.778165,-80.219541
41.557225,-72.631223
43.036451,-87.925583
43.064848,-87.926184
43.07394,-87.920648
43.059126,-87.933329
43.0299,-87.974365
43.028232,-87.970966
44.980392,-93.274809
44.854783,-93.242921
44.973926,-93.258287
44.981749,-93.278026
25.718006,-100.315407
45.53291,-73.627094
45.557969,-73.551925
41.293714,-72.932295
41.321348,-72.95404
41.459711,-81.664424
40.7195,-74.1468
40.704264,-73.955027
40.683,-73.948515
40.797523,-73.949579
40.798303,-73.95151
40.672685,-73.985006
40.790424,-73.938013
40.697792,-73.901514
40.830228,-73.938505
40.831462,-73.936724
40.669542,-73.902853
40.675411,-73.986773
40.840334,-73.941788
40.8316,-73.936896
40.664768,-73.958374
40.826959,-73.927749
40.755753,-73.847814
40.694886,-73.90502
40.67468,-73.985936
40.757134,-73.84584
40.829586,-73.926413
37.751619,-122.200451
41.267,-95.932
39.117813,-84.447058
39.977635,-75.178031
39.981581,-75.174812
39.991673,-75.149576
39.927663,-75.169641
39.993268,-75.155638
39.988552,-75.154985
39.950685,-75.199004
39.98117,-75.182923
39.996127,-75.164751
39.906537,-75.171495
39.906109,-75.166485
33.44542,-112.066793
40.452295,-80.030175
40.445937,-80.010704
40.453988,-80.019145
40.441302,-79.953449
40.446533,-80.012614
40.446835,-80.005683
41.796629,-71.416372
41.813501,-71.436952
42.277663,-89.101335
37.546758,-77.450364
37.553945,-77.458003
43.15464,-77.576033
43.256802,-77.606814
40.646663,-74.077862
32.783073,-117.119645
32.70753,-117.157056
47.579199,-122.297403
47.595133,-122.331639
47.591443,-122.332283
37.4977,128.8671
37.766774,-122.409337
37.713297,-122.38627
37.778324,-122.389221
18.416612,-66.072787
44.93322,-93.122029
42.107144,-72.605784
38.629315,-90.23415
38.657795,-90.220619
38.646394,-90.212177
38.662799,-90.222147
38.657718,-90.220344
38.633589,-90.23254
38.62393,-90.192326
38.622622,-90.192841
27.768254,-82.653431
-33.891699,151.224729
43.034993,-76.148711
43.039494,-76.151866
43.072139,-76.17549
43.203262,-76.278024
35.705526,139.751928
41.653696,-83.545536
41.654033,-83.590833
41.669628,-83.543978
41.656331,-83.536221
43.632568,-79.417679
43.641256,-79.389054
42.759763,-73.681229
42.733038,-73.676616
41.690486,-71.364405
38.914522,-77.037562
38.91261,-77.036478
38.892956,-77.006695
38.914797,-77.024472
38.898236,-77.007383
38.917576,-77.020191
38.901672,-76.986996
38.889766,-76.971837
38.872987,-77.007435
42.732806,-73.70947
40.701664,-74.19705
40.786143,-74.006989
40.063386,-80.733735
39.747745,-75.574942
41.242347,-77.047067
40.772796,-74.019648
42.268844,-71.814226
42.268721,-71.812404
